id	検証名	条件	期間	n	的中	主要ROI	頑健性チェック	判定	出典
89	採掘第4ラウンド: 時系列オッズ族の分解	ts1-4の時点順推定+drift_late(ts4→確定)/drift_mid(ts1→ts4)/place_drift(複勝下限ドリフト)を変則窓で検定	2020-2022/2023-2024	14.3万/9.4万	-	**ts4=確定オッズと判明**(相関1.0000、時点順はts2<ts1<ts3<ts4=確定)→drift_late退化・drift_midはdrift1と同一物(台帳注記)。**place_drift合格: z-5.36/-4.71**、五分位Q1 85/84→Q5 49/40	place_driftはdrift1との独立性未検定(高相関の見込み)。指時系の正体が「ts4=確定」と特定できたのは自前odds_log設計への重要情報	新規合格は実質place_drift1本。単勝・複勝両市場でドリフト現象を確認=遅い金仮説の頑健性強化	signal_harness_r4.py / log360
90	採掘第5ラウンド: 斤量・馬体重族(ユーザー提案)	wdev(体重の自分比乖離=キャリア平均比)/wdiff(前走比増減)/kin_rel(斤量レース内相対)/kin_ratio(斤量/馬体重)を正規窓で検定	発見2014-2018/確認2019-2021	9.2万-22.3万	-	**0/4全滅**: wdev -0.10/+0.53(自分比でも情報なし)・wdiff +0.11/+1.14(有名対照、織り込み済み)・kin_rel -1.80/-1.92(惜しいが両窓未達)・kin_ratio -4.23/-1.32(窓不整合)	行き止まり台帳(軽斤量・馬体重=エッジ無し確定)をblend-z法でも再確認。「自分比」の地味化でも救えず	斤量・馬体重は集計を工夫しても死角なし。体重は市場が完全に消化している情報と最終確定	signal_harness_r5.py / log360
91	odds_log実データのドリフト区間分解パイロット	自前odds_log(2026夏6日・98R・1279頭・勝者98)+netkeiba結果で、観測可能区間(10分前→3分前)と買付後区間(3分前→確定)のγを分離測定	2026-06-20〜07-05	1279頭(勝者98=検出力小)	-	**drift_obs(観測可能): γ+0.079±0.173(z+0.45)=無情報**(三分位ROI 71/103/72で無秩序)。**drift_hidden(買付後3分): γ-0.465±0.147(z-3.16)** — n=98勝でも有意、三分位ROI 122/116/**8.0**(直前3分で伸びた馬はほぼ勝たない)。変動量も最後の3分が最大(|ln|中央値0.176 vs 0.129)	n小のためdrift_obsの小効果(|γ|<0.4)は棄却できないが点推定ゼロ+無秩序ROI	**エッジは「最後の3分」に局在=買付(T-3分)後にしか発生しない** → driftフィルタは現行の買付タイミングでは実装不能と確定。log#173の「最後の10分」をさらに絞り込んだ形。対応候補: ①買付をT-1分に遅らせる(執行リスクとトレードオフ) ②odds_log蓄積を継続しn増で再判定 ③driftは研究用シグナルとして保持	odds_log_drift_pilot.py / log362
92	多重性デフレータの導入(方法論輸入③)	検定台帳+台帳以前の総試行数T=73からFWER5%%の要求z閾値を算出、合格者の生存判定	-	73試行	-	要求z閾値3.40(FWER5%%)/3.81(1%%)。本日の合格4本(ka 4.91/rf 5.13/drift 5.35/place_drift 4.71)は全て生存。効果量側はプラセボ実測-7ptの割引を標準とする二層結論を明文化	両窓要求のため実効的にはさらに保守的	シグナルの実在はデフレート後も堅い。以後の採掘はこの閾値を合格ラインに使う	deflate_ledger.py / log363
93	フォワード中間解析計画の事前規定(方法論輸入②)	O'Brien-Fleming型αスペンディングで4回の覗き見境界を事前固定(n=125/250/375/500でz 4.33/2.96/2.36/2.01=ROI 205/151/133/124)。無益性参考境界=95%%上側限界<90	2026-07〜2027-07	-	-	正式判定(2027-07)は不変のまま、途中経過で「効いている」と宣言してよい条件を事前登録。interim_check.pyで随時判定可	臨床試験の逐次検定の直輸入。覗き見による第一種過誤膨張を構造的に防止	FORWARD_INTERIM_PLAN.md / interim_check.py / log363
94	信頼性理論つき週±1血統リフト基盤v0(方法論輸入①)	(小系統×会場×ISO週±1)セルの複勝/勝率リフトを年単位as-of(2010..Y-1)で累積しBühlmann信頼性(k=97/158をモーメント推定)で縮約。全馬+p4-p10診断で検定	発見2014-2018/確認2019-2021	24.5万/13.5万	-	**不合格**: cred_place -1.22/+0.44・cred_win -1.06/+0.26。先行実績の母集団(p4-p10)に絞った診断でも-0.64/-0.59でゼロ	結合率98%%・セルn中央値1107で実装は健全。基盤(credibility集計機構)は完成し再利用可能	年as-of+2010以来全プールの粗い週±1リフトには未織り込み情報なし。先行の+17.6pt(slice_diffs2/LOO/直近重み)との不一致は①手法差(直近重み・LOO) ②先行値の楽観のどちらか — p_fund本構築時の最初の再現課題として登録。p_fundの期待上積みは下方修正が妥当	credibility_lineage_week.py / log363
95	ka×rfの複勝市場展開(生存シグナルでの100超え最終経路)	①place_share較正(学習窓slope 0.638=kensho#38と整合) ②複勝ブレンド(top_k~logit(p_cal)+z_ka+z_rf) ③採用セルの複勝購入 ④EVルール(期待配当=shareのlog-log回帰)	2014-2021/2022-2026	ブレンド24.5万/13.5万	-	**複勝側のγは両窓とも有意に負**: ka -3.68/-2.42、rf -8.82/-5.34。採用セルを複勝で買うと85.3/87.0(プラス年1/13)。EVルールは42-62%%(期待配当近似の誤差拾い)	負のγの意味が本質: ka(勝ち切り体質)とrf(見限られ)は「勝つか飛ぶか」に確率質量を寄せるシグナルで、複勝圏(2-3着含む)には市場想定より来ない。単勝で過小評価・複勝で過大評価という表裏	**4本の生存シグナルによる複勝経路は閉鎖**。これで市場×シグナルの全組合せ検定完了: 単勝=天井98・複勝=負・drift=観測不能。100超えの残経路は①フォワードの上振れ確認②slice_diffs2厳密再現③新情報源(コメントLLM等)のみ	fukusho_karf.py / log367
96	WIN5攻略動画(丞相)の主張＋期待値検証	netkeiba win5_results全年スクレイプ868開催の実勝ち馬人気・配当。①相和13-19頻度②1番人気2勝以上率③上位K番人気総流しROI	2011-2026	868開催	上位K戦略の的中0.1-55%	素ROI60-89%(全て損)	最高1本除外でK6:86→79%・最高3本除外でK2-3が40-46%に崩壊。プラス年最良5/16年。K6-7のROI70%超は5.6億等ジャックポット数本の外れ値のみ	動画の統計①②は概ね正(相和13-19=実測43.2%は最頻だが半数以下で「過半」は誇張/1番人気2勝以上46.3%は正確)。だが攻略法としては不合格:控除率30%超の持続エッジ無し。配当プールの94.6%が相和20以上(荒)に存在し推奨13-19には5.2%しかない→堅め狙いは賞金大半を捨てる自己矛盾	win5_all.json(scratchpad) / activity#84
97	ハイブリッド馬券術動画(丞相)の主張検証	◎○▲を人気1-3位で全レース機械固定し買い方だけ比較。単一券種/多点BOX/複数券種ハイブリッドのROI・的中率を対照	2024-2025	4775R	戦略別0.9-65.6%	単勝80.3/複勝85.6/馬連83.7/3連複79.8/3連単77.9 ハイブリッド全部乗せ80.4/動画型80.8	ハイブリッド全部乗せROI80.4%=構成5券種の単純平均80.4%と小数一致(回収率の線形性を実データで確認)。最高単体(複勝85.6)を1つも超えず	**不合格(数学的に決着)**: 回収率は買い方の分散で不変。券種を混ぜてもROIは各券種ROIの加重平均にしかならず最良券種を超えられない。ハイブリッドが上げるのは的中率(全部乗せ44.4%vs3連単単体2.3%)だけで回収率ではない。動画の「多点BOXはNG」は結論だけ正(BOX5頭75.6/73.6%と実際に低い)だが理由は死票でなく低配当希釈。全券種が控除率で72-86%帯に収束	hybrid_bet_test.py / activity#84
98	複勝◎ favorite-longshotの17年両窓検証(丞相動画の派生)	keiba.db(2010-2026, 1番人気約6万頭)でplace_payoutから複勝◎ROIをオッズ帯×窓で集計。df_race基準2024=86.4%と一致しdb健全	2010-2026(学習14-21/検証22-26)	年約3440R×17年	複勝圏65.6%前後	素ROI17年で81.7-86.4%(84前後で不動)。odds<1.3=97/96・odds<1.5=96.0/98.2・単調・両窓一致	100超えは片窓のみ(odds<1.5&3歳=学96.1/検100.5、odds<1.3&1300m=学101.4/検96.9)で両窓同時100超えスライスはゼロ。前回n=49の102%はn200両窓で消滅	**行き止まり確定**: 複勝favorite-longshotは17年両窓で実在も~97%で漸近、控除率の壁を越えない。買える形の複勝100超えは無い。季節/性別/枠は独立エッジなし・3歳のみ微増	hybrid_fuku_and.py+db直query / activity#85
99	2歳ダ新馬×サンデー系他(牡)単勝【確定・事前登録】	class=新馬 age=2 牡 surface=ダ lineage=サンデー系他 単勝5-80倍 9-11月	2010-2025	n677(年40)	勝率9.0%/的中61	単勝ROI164%(9-11月)	除3本132%・学133/検210・プラス年11/16・月勾配滑らか(9月279/10月147/11月119,夏12月×)・複勝不可	**確定候補・事前登録済**。新馬限定が本質(未勝利98%/検61で妙味消失=デビュー時が最も過小評価)。米国系/馬体重/narrow帯は過学習で棄却。要フォワード(2026-28秋,累計120,ROI≥110%で採用)	PREREG_2SAI_DIRT_SHINBA_SUNDAY.md / topic78 log396
100	2026夏3戦略フォワード(db・backfill後確定)	strategy_spec準拠の推奨馬を稼働窓内で単勝集計。dbを2026-07-05までbackfill投入後にnetkeibaスクレイプ復元値と照合し一致	2026稼働窓〜7/05	104頭	10勝(10%)	芝95.1(61頭2勝)/ダ81.3(15頭1勝)/新141.4(28頭7勝)/合算105.6	新馬父別エフフォーリア15頭5勝161%・エピ13頭2勝118%。state依存の初期集計(新18頭3勝121%)はstate6/17開始で早期6月新馬が欠落しundercountだった	**新馬が牽引しプラス**: 今季合算105.6%。芝ダは早期n(芝61/ダ15)で判定保留(撤退基準n100/60未達)。新馬141%は本物(エフ産駒5勝)。state記録≠戦略実力の教訓	v2_three_strats_roi.py改/shinba_2026_full.py / activity#85
101	夏3戦略推奨馬の全券種総決算(12年フルカバレッジ)	推奨馬を単勝/複勝/ワイド(×1-3人気BOX)/馬連/馬単3型/3連複/3連単で比較。配当=all_payouts958R∪欠落697Rをnetkeiba全券種スクレイプ=100%カバー	2014-2025	2840点	構成による	単勝155/馬連×1人気133/馬単推→1人気130/馬単表裏126/ワイド×1人気109.5(97%版109.7と一致)/複勝102/ワイドBOX69/3連単82	フルカバレッジで58%版の楽観バイアス解消(ワイド×1人気133→109.5)。ダートは馬連×1人気189>単勝150・馬単164-187も単勝超え。芝は単勝一択(連系は100前後)	**単勝が全戦略最強も、ダートのみ馬連/馬単×1番人気が単勝超え**。ワイドは110%止まり・ワイドBOX/3連単/複勝は不可。連系高ROIは一発依存の懸念ありフラットROIのみ=7点チェック前の有力リード。動画の「馬単で軸」は券種効率では一理あり	hybrid_allbets_final.py / activity#85
97	夏3戦略の他季節への当てはめ(頑健性/季節依存)	strategy_spec v2の芝(牝3未勝利15-80血統3走+)/ダ(牝3≤1400条件10-80米国系3走+)/新(芝2歳新馬エピ系)を稼働窓を外し季節別に単勝ROI	2010-2026全期間	芝春1838夏2495秋289冬779/ダ春1723夏1437秋989冬1112/新夏282秋281冬81	季節別勝率2-6%	夏のみプラス:芝135/ダ133/新172%。他季節は芝春83秋54冬59・ダ春60秋69冬91・新秋100冬126%	最高3本除外で他季節さらに低下(芝秋24冬42/ダ春50/新冬5.4=蜃気楼)。春の芝はn1838で負け=小標本でない	**3戦略とも夏限定が本質を再確認(新馬含む)。他季節は控除率も下回り横展開不可。稼働窓はエッジの在る季節そのもの**	seasonal_generalize.py / topic78
98	夏ダ戦略に牝4歳を追加(年齢拡張の可否)	strategy_spec夏ダ条件(ダ≤1400条件10-80米国系3走+6/16-8/31)を牝4歳に適用	2010-2026夏窓	牝3歳n1152/牝4歳n422/3+4歳n1574	牝4歳勝率4.0%	牝4歳ROI110%	除3本69%・学93/検80(両窓100割れ)・プラス年7/17。追加で3歳の134→128に希釈	**牝4歳追加は非推奨**。素110%は穴依存で戦略フィルタ下では両窓100割れ。夏の牝馬は3歳限定が本質。現行据え置き	seasonal実験 / topic78 log392
99	牡2歳ダ新馬の妙味スライス構築(サンデー系他血統)	class=新馬 age=2 牡 surface=ダ lineage=サンデー系他 単勝≤80(推奨10-80)	2010-2026	全季n1370/秋9-11月n796	勝率11.8%/12.2%	全季120%・秋152%	除3本104%(秋126%)・両窓107/128・プラス年11/17・オッズ帯単調増(30-80倍148%/秋227%)・直近23-25=170/158/127	**全蜃気楼チェック通過の本物候補**。サンデー系産駒のダート新馬を市場が過小評価。事前登録→フォワード追試の価値大	lineage分解 / topic78 log392
102	新種牡馬ポートフォリオ(エピ牡+エフ+シスキン,単1%複2%)の複利シミュレーション	新馬全頭を時系列複利(当日朝残高で凍結・資金20万)。437頭=エピ牡371/シスキン49/エフ17。2019-2026	2019-2026	437頭	-	提案形:1.18倍・最大DD83.5%。単勝のみ1.31倍/複勝のみ1.15倍。エピ牡のみ0.66倍・エフのみ1.55倍(DD8.7%)	単勝最高配当1本除外で0.81倍(通算マイナス転落)・上位3本除外0.45倍=7年の利益がほぼ万馬券1本。2020年は単年0.34倍	**不合格**: ポートフォリオの85%を占めるエピ牡がフラット110%でも複利0.66倍(分散ドラッグ+2023年以降の枯れ)。複勝2%はエッジ無し(合算107%)への倍張りで足かせ。機能するのはエフのみ=現行凍結仕様(エフ単1%実弾・他はペーパー)の正しさを補強。事後選択の先読みバイアス込みでこの結果=実際はさらに悪い	sim_shinba_portfolio.py / topic#81
